Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:16:47.917930 - 1969-12-31 22:16:47.942431
ts:  1969-12-31 22:16:47.921930 - 1969-12-31 22:16:47.942470
ts:  1969-12-31 22:16:47.925930 - 1969-12-31 22:16:47.942507
ts:  1969-12-31 22:16:47.929930 - 1969-12-31 22:16:47.942552
ts:  1969-12-31 22:16:47.933930 - 1969-12-31 22:16:47.942605
ts:  1969-12-31 22:16:47.937930 - 1969-12-31 22:16:47.942715
ts:  1969-12-31 22:16:47.941930 - 1969-12-31 22:16:47.942903
ts:  1969-12-31 22:16:47.931705 - 1969-12-31 22:16:47.969071
ts:  1969-12-31 22:16:47.935705 - 1969-12-31 22:16:47.969588
ts:  1969-12-31 22:16:47.939705 - 1969-12-31 22:16:47.969972
ts:  1969-12-31 22:16:47.943705 - 1969-12-31 22:16:47.970280
ts:  1969-12-31 22:16:47.947705 - 1969-12-31 22:16:47.970596
ts:  1969-12-31 22:16:47.951705 - 1969-12-31 22:16:47.970939
ts:  1969-12-31 22:16:47.955705 - 1969-12-31 22:16:47.971273
ts:  1969-12-31 22:16:47.959705 - 1969-12-31 22:16:47.971587
ts:  1969-12-31 22:16:47.963705 - 1969-12-31 22:16:47.971923
ts:  1969-12-31 22:16:47.967705 - 1969-12-31 22:16:47.972324
ts:  1969-12-31 22:16:47.959026 - 1969-12-31 22:16:47.995680
ts:  1969-12-31 22:16:47.963026 - 1969-12-31 22:16:47.996180
ts:  1969-12-31 22:16:47.967026 - 1969-12-31 22:16:47.996631
ts:  1969-12-31 22:16:47.971026 - 1969-12-31 22:16:47.996838
ts:  1969-12-31 22:16:47.975026 - 1969-12-31 22:16:47.996976
ts:  1969-12-31 22:16:47.979026 - 1969-12-31 22:16:47.997104
ts:  1969-12-31 22:16:47.983026 - 1969-12-31 22:16:47.997236
ts:  1969-12-31 22:16:47.987026 - 1969-12-31 22:16:47.997327
ts:  1969-12-31 22:16:47.991026 - 1969-12-31 22:16:47.997548
ts:  1969-12-31 22:16:47.995026 - 1969-12-31 22:16:47.997622
ts:  1969-12-31 22:16:47.988420 - 1969-12-31 22:16:48.025482
ts:  1969-12-31 22:16:47.992420 - 1969-12-31 22:16:48.025758
ts:  1969-12-31 22:16:47.996420 - 1969-12-31 22:16:48.025907
ts:  1969-12-31 22:16:48.000420 - 1969-12-31 22:16:48.026131
ts:  1969-12-31 22:16:48.004420 - 1969-12-31 22:16:48.026361
ts:  1969-12-31 22:16:48.008420 - 1969-12-31 22:16:48.026583
ts:  1969-12-31 22:16:48.012420 - 1969-12-31 22:16:48.026775
ts:  1969-12-31 22:16:48.016420 - 1969-12-31 22:16:48.026905
ts:  1969-12-31 22:16:48.020420 - 1969-12-31 22:16:48.027043
ts:  1969-12-31 22:16:48.024420 - 1969-12-31 22:16:48.027173
ts:  1969-12-31 22:16:48.015435 - 1969-12-31 22:16:48.052987
ts:  1969-12-31 22:16:48.019435 - 1969-12-31 22:16:48.053143
ts:  1969-12-31 22:16:48.023435 - 1969-12-31 22:16:48.053186
ts:  1969-12-31 22:16:48.027435 - 1969-12-31 22:16:48.053215
ts:  1969-12-31 22:16:48.031435 - 1969-12-31 22:16:48.053248
ts:  1969-12-31 22:16:48.035435 - 1969-12-31 22:16:48.053373
ts:  1969-12-31 22:16:48.039435 - 1969-12-31 22:16:48.053621
ts:  1969-12-31 22:16:48.043435 - 1969-12-31 22:16:48.054081
ts:  1969-12-31 22:16:48.047435 - 1969-12-31 22:16:48.054319
ts:  1969-12-31 22:16:48.051435 - 1969-12-31 22:16:48.054462
ts:  1969-12-31 22:16:48.041771 - 1969-12-31 22:16:48.078680
ts:  1969-12-31 22:16:48.045771 - 1969-12-31 22:16:48.079169
ts:  1969-12-31 22:16:48.049771 - 1969-12-31 22:16:48.079304
ts:  1969-12-31 22:16:48.053771 - 1969-12-31 22:16:48.079385
ts:  1969-12-31 22:16:48.057771 - 1969-12-31 22:16:48.079444
ts:  1969-12-31 22:16:48.061771 - 1969-12-31 22:16:48.079489
ts:  1969-12-31 22:16:48.065771 - 1969-12-31 22:16:48.079545
ts:  1969-12-31 22:16:48.069771 - 1969-12-31 22:16:48.079593
ts:  1969-12-31 22:16:48.073771 - 1969-12-31 22:16:48.079646
ts:  1969-12-31 22:16:48.077771 - 1969-12-31 22:16:48.079704
ts:  1969-12-31 22:16:48.070065 - 1969-12-31 22:16:48.107099
ts:  1969-12-31 22:16:48.074065 - 1969-12-31 22:16:48.107537
ts:  1969-12-31 22:16:48.078065 - 1969-12-31 22:16:48.107736
ts:  1969-12-31 22:16:48.082065 - 1969-12-31 22:16:48.107986
ts:  1969-12-31 22:16:48.086065 - 1969-12-31 22:16:48.108212
ts:  1969-12-31 22:16:48.090065 - 1969-12-31 22:16:48.108381
ts:  1969-12-31 22:16:48.094065 - 1969-12-31 22:16:48.108580
ts:  1969-12-31 22:16:48.098065 - 1969-12-31 22:16:48.108802
ts:  1969-12-31 22:16:48.102065 - 1969-12-31 22:16:48.109011
ts:  1969-12-31 22:16:48.106065 - 1969-12-31 22:16:48.109244
ts:  1969-12-31 22:16:48.095999 - 1969-12-31 22:16:48.132921
ts:  1969-12-31 22:16:48.099999 - 1969-12-31 22:16:48.133405
ts:  1969-12-31 22:16:48.103999 - 1969-12-31 22:16:48.133741
ts:  1969-12-31 22:16:48.107999 - 1969-12-31 22:16:48.134085
ts:  1969-12-31 22:16:48.111999 - 1969-12-31 22:16:48.134527
ts:  1969-12-31 22:16:48.115999 - 1969-12-31 22:16:48.135671
ts:  1969-12-31 22:16:48.119999 - 1969-12-31 22:16:48.136470
ts:  1969-12-31 22:16:48.123999 - 1969-12-31 22:16:48.136608
ts:  1969-12-31 22:16:48.127999 - 1969-12-31 22:16:48.136700
ts:  1969-12-31 22:16:48.131999 - 1969-12-31 22:16:48.136799
ts:  1969-12-31 22:16:48.122607 - 1969-12-31 22:16:48.159987
ts:  1969-12-31 22:16:48.126607 - 1969-12-31 22:16:48.160644
ts:  1969-12-31 22:16:48.130607 - 1969-12-31 22:16:48.161125
ts:  1969-12-31 22:16:48.134607 - 1969-12-31 22:16:48.161240
ts:  1969-12-31 22:16:48.138607 - 1969-12-31 22:16:48.161285
ts:  1969-12-31 22:16:48.142607 - 1969-12-31 22:16:48.161341
ts:  1969-12-31 22:16:48.146607 - 1969-12-31 22:16:48.161402
ts:  1969-12-31 22:16:48.150607 - 1969-12-31 22:16:48.161470
ts:  1969-12-31 22:16:48.154607 - 1969-12-31 22:16:48.161555
ts:  1969-12-31 22:16:48.158607 - 1969-12-31 22:16:48.161714
ts:  1969-12-31 22:16:48.149386 - 1969-12-31 22:16:48.186364
ts:  1969-12-31 22:16:48.153386 - 1969-12-31 22:16:48.186598
ts:  1969-12-31 22:16:48.157386 - 1969-12-31 22:16:48.186789
ts:  1969-12-31 22:16:48.161386 - 1969-12-31 22:16:48.186903
ts:  1969-12-31 22:16:48.165386 - 1969-12-31 22:16:48.186932
ts:  1969-12-31 22:16:48.169386 - 1969-12-31 22:16:48.186956
ts:  1969-12-31 22:16:48.173386 - 1969-12-31 22:16:48.187039
ts:  1969-12-31 22:16:48.177386 - 1969-12-31 22:16:48.187094
ts:  1969-12-31 22:16:48.181386 - 1969-12-31 22:16:48.187120
ts:  1969-12-31 22:16:48.185386 - 1969-12-31 22:16:48.187150
ts:  1969-12-31 22:16:48.176396 - 1969-12-31 22:16:48.212995
ts:  1969-12-31 22:16:48.180396 - 1969-12-31 22:16:48.213095
